date,btc:open,btc:high,btc:low,btc:close,btc:volume,btc:macd,btc:macd_diff,btc:macd_signal,btc:rsi,btc:bb_bbm,btc:bb_bbh,btc:bb_bbl,btc:atr,btc
2021-11-26,58960.285156,59183.480469,53569.765625,53569.765625,41810748221,-1445.3936423251798,-914.0650896778127,-531.3285526473671,35.74302147618161,61023.14472675,69051.64388135537,52994.645572144625,2912.3679958613793,53569.765625
2021-11-27,53736.429688,55329.257813,53668.355469,54815.078125,30560857714,-1598.7418186831346,-853.9306128286139,-744.8112058545207,39.35056268839785,60597.54921895,68986.75369210012,52208.344745799885,2830.0197238712803,54815.078125
2021-11-28,54813.023438,57393.84375,53576.734375,57248.457031,28116886357,-1506.5514251096392,-609.3921754040948,-897.1592497055444,45.75877068344375,60081.63066425,67945.67401831422,52217.587310185765,2900.5261275233315,57248.457031
2021-11-29,57291.90625,58872.878906,56792.527344,57806.566406,32370840356,-1372.6322614824458,-380.3784094215209,-992.2538520609248,47.13834419834676,59623.36757829999,66872.04862501686,52374.686531583124,2841.9422299859507,57806.566406
2021-11-30,57830.113281,59113.402344,56057.28125,57005.425781,36708594618,-1315.9759607889791,-258.9776869824434,-1056.9982738065357,45.35508121808053,59223.8773439,66116.21720747482,52331.537480325176,2857.2407202726686,57005.425781
2021-12-01,56907.964844,59041.683594,56553.082031,57229.828125,36858195307,-1238.6892024816698,-145.3527429401072,-1093.3364595415626,45.971628328898184,58837.87070325001,65252.384253058284,52423.357153441735,2830.90935189605,57229.828125
2021-12-02,57217.371094,57349.234375,55895.132813,56477.816406,32379968686,-1224.0103215345662,-104.53908959440287,-1119.4712319401633,44.17294488027367,58453.964453249995,64455.13468103239,52452.7942254676,2732.5659383320462,56477.816406
2021-12-03,56509.164063,57482.167969,52496.585938,53598.246094,39789134215,-1428.2702508491202,-247.03921512716533,-1181.2310357219549,38.03605804143529,57910.40039075001,63594.62393675993,52226.17684474009,2893.495659236901,53598.246094
2021-12-04,53727.878906,53904.679688,42874.617188,49200.703125,61385677469,-1922.8275234704925,-593.2771901988299,-1329.5503332716626,30.96174492893364,57097.093554800005,62877.77994427639,51316.40716532362,3474.679005005694,49200.703125
2021-12-05,49201.519531,49768.148438,47857.496094,49368.847656,37198201161,-2274.9753668009726,-756.3400268234479,-1518.6353399775246,31.486458781267586,56387.6423829,62303.71193324286,50471.57283255713,3362.962814933858,49368.847656
